   Step   Time    Walltime(s) Profile
 214284  14.9999    80.7249   ▂▂▂▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇█████████▇▇▇▇▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂▂
 249998  17.4999    94.1759   ▃▃▃▃▃▄▄▄▄▅▅▅▆▆▆▇▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▄▃▃▃▃▃▃
 285712  19.9998   107.6265   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▇▇▇▇███████████▇▇▇▇▆▆▆▅▅▅▄▄▄▄▄▃▃▃▃
 321426  22.4998   121.0769   ▄▄▄▄▄▄▅▅▅▅▆▆▆▆▇▇▇▇███████████▇▇▇▇▇▆▆▆▅▅▅▅▄▄▄▄▄▄▄
 357140  24.9998   134.5274   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇█████████████▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄▄
 392854  27.4998   147.9779   ▅▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇█████████████▇▇▇▇▇▆▆▆▆▆▅▅▅▅▅▅▅▅
 428568  29.9998   161.4278   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇█████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅▅
 464282  32.4997   174.8785   ▆▆▆▆▆▆▆▆▆▆▇▇▇▇▇▇███████████████▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆▆▆
 499996  34.9997   188.3284   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆
 535710  37.4997   201.7791   ▆▆▆▆▆▆▇▇▇▇▇▇▇▇▇█████████████████▇▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆
 571424  39.9997   215.2303   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇███████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆▆
 607138  42.4997   228.6809   ▇▇▇▇▇▇▇▇▇▇▇▇▇█████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇▇
 642852  44.9996   242.1312   ▇▇▇▇▇▇▇▇▇▇▇▇███████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
 678566  47.4996   255.5814   ▇▇▇▇▇▇▇▇▇▇▇█████████████████████████▇▇▇▇▇▇▇▇▇▇▇▇
 714280  49.9996   269.0323   ▇▇▇▇▇▇▇▇▇▇███████████████████████████▇▇▇▇▇▇▇▇▇▇▇
 749994  52.4996   282.4915   ▇▇▇▇▇▇▇▇███████████████████████████████▇▇▇▇▇▇▇▇▇
 785708  54.9996   295.9422   ▇▇▇▇▇▇███████████████████████████████████▇▇▇▇▇▇▇
 821422  57.4995   309.3932   ▇▇▇█████████████████████████████████████████▇▇▇▇
 857136  59.9995   322.8438   ████████████████████████████████████████████████
 892850  62.4995   336.2943   ████████████████████████████████████████████████
 928564  64.9995   349.7444   ████████████████████████████████████████████████
 964278  67.4995   363.1950   ████████████████████████████████████████████████
 999992  69.9994   376.6453   ████████████████████████████████████████████████
1035706  72.4994   390.0961   ████████████████████████████████████████████████
1071420  74.9994   403.5466   ████████████████████████████████████████████████
1107134  77.4994   416.9971   ████████████████████████████████████████████████
1142848  79.9994   430.4476   ████████████████████████████████████████████████
1178562  82.4993   443.8983   ████████████████████████████████████████████████
1214276  84.9993   457.3486   ████████████████████████████████████████████████
1249990  87.4993   470.7987   ████████████████████████████████████████████████
1285704  89.9993   484.2493   ████████████████████████████████████████████████
1321418  92.4993   497.6995   ████████████████████████████████████████████████
1357132  94.9992   511.1503   ████████████████████████████████████████████████
1392846  97.4992   524.6008   ████████████████████████████████████████████████
1428560  99.9992   538.0514   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0009   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  35714   2.5000     9.0585   ▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▃▃▄▅▆▇█████▇▆▅▄▃▃▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  71428   5.0000    18.0984   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▆▆▇▇█████▇▇▆▆▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁▁
 107142   7.4999    27.1470   ▁▁▁▁▁▁▂▂▂▂▃▃▄▄▅▅▆▆▇▇███████▇▇▆▆▅▅▄▄▃▃▂▂▂▂▁▁▁▁▁▁▁
 142856   9.9999    36.1890   ▁▁▂▂▂▂▂▂▃▃▄▄▄▅▅▆▆▇▇▇███████▇▇▇▆▆▅▅▄▄▄▃▃▂▂▂▂▂▂▁▁▁
 178570  12.4999    45.2651   ▂▂▂▂▂▂▃▃▃▄▄▅▅▅▆▆▇▇▇█████████▇▇▇▆▆▅▅▅▄▄▃▃▃▃▂▂▂▂▂▂
 214284  14.9999    54.3156   ▂▂▂▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇█████████▇▇▇▇▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂▂
 249998  17.4999    63.3534   ▃▃▃▃▃▄▄▄▄▅▅▅▆▆▆▇▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▄▃▃▃▃▃▃
 285712  19.9998    72.3948   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▇▇▇▇███████████▇▇▇▇▆▆▆▅▅▅▄▄▄▄▄▃▃▃▃
 321426  22.4998    81.4328   ▄▄▄▄▄▄▅▅▅▅▆▆▆▆▇▇▇▇███████████▇▇▇▇▇▆▆▆▅▅▅▅▄▄▄▄▄▄▄
 357140  24.9998    90.4739   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇█████████████▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄▄
 392854  27.4998    99.5087   ▅▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇█████████████▇▇▇▇▇▆▆▆▆▆▅▅▅▅▅▅▅▅
 428568  29.9998   108.5434   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇█████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅▅
 464282  32.4997   117.5770   ▆▆▆▆▆▆▆▆▆▆▇▇▇▇▇▇███████████████▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆▆▆
 499996  34.9997   126.6101   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆
 535710  37.4997   135.6461   ▆▆▆▆▆▆▇▇▇▇▇▇▇▇▇█████████████████▇▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆
 571424  39.9997   144.6781   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇███████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆▆
 607138  42.4997   153.7084   ▇▇▇▇▇▇▇▇▇▇▇▇▇█████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇▇
 642852  44.9996   162.7419   ▇▇▇▇▇▇▇▇▇▇▇▇███████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
 678566  47.4996   171.7737   ▇▇▇▇▇▇▇▇▇▇▇█████████████████████████▇▇▇▇▇▇▇▇▇▇▇▇
