
real	8m58.078s
user	17m33.013s
sys	0m22.995s

real	6m1.551s
user	17m39.484s
sys	0m25.050s

real	4m38.172s
user	18m0.679s
sys	0m31.870s

real	3m50.735s
user	18m31.714s
sys	0m41.757s

real	3m18.611s
user	19m4.547s
sys	0m46.917s

real	3m2.792s
user	19m38.890s
sys	1m40.440s

real	2m41.540s
user	20m35.140s
sys	0m56.979s

real	2m23.487s
user	20m36.290s
sys	0m54.883s

real	2m11.516s
user	20m52.745s
sys	1m2.180s

real	2m1.301s
user	21m5.248s
sys	1m8.818s

real	1m53.254s
user	21m22.765s
sys	1m16.027s

real	1m52.510s
user	21m9.041s
sys	1m18.983s

real	1m48.327s
user	21m54.889s
sys	1m33.029s

real	1m42.786s
user	22m16.153s
sys	1m42.678s

real	1m37.491s
user	22m50.923s
sys	1m31.219s

real	1m31.994s
user	23m0.286s
sys	1m31.343s
